timestamp,run_id,scenario,step,target,status,duration_sec,message
2026-07-22T16:30:43+09:00,20260722-163043,switch-to-onprem,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:30:46+09:00,20260722-163043,provision-dr,terraform_init_02-eks,02-eks,SUCCESS,3,"completed"
2026-07-22T16:30:48+09:00,20260722-163043,switch-to-onprem,internal_health_before_switch,onprem,SUCCESS,3,"completed"
2026-07-22T16:30:48+09:00,20260722-163043,switch-to-onprem,activate_cloudflared,onprem,SUCCESS,0,"completed"
2026-07-22T16:30:51+09:00,20260722-163043,switch-to-onprem,deactivate_cloudflared,eks-a,SUCCESS,2,"completed"
2026-07-22T16:30:52+09:00,20260722-163043,switch-to-onprem,external_health_after_switch,onprem,SUCCESS,1,"completed"
2026-07-22T16:30:52+09:00,20260722-163043,switch-to-onprem,total,switch-to-onprem,SUCCESS,9,"온프레미스 긴급 우회 완료"
2026-07-22T16:30:54+09:00,20260722-163043,provision-dr,terraform_apply_02-eks,02-eks,SUCCESS,8,"completed"
2026-07-22T16:30:56+09:00,20260722-163043,provision-dr,update_kubeconfig,eks-b,SUCCESS,1,"completed"
2026-07-22T16:30:56+09:00,20260722-163043,provision-dr,check_eks_b_context,eks-b,SUCCESS,0,"completed"
2026-07-22T16:30:57+09:00,20260722-163043,provision-dr,check_eks_b_cluster,eks-b,SUCCESS,1,"completed"
2026-07-22T16:30:58+09:00,20260722-163043,provision-dr,wait_eks_b_nodes,eks-b,SUCCESS,1,"completed"
2026-07-22T16:31:01+09:00,20260722-163043,provision-dr,terraform_init_03-platform,03-platform,SUCCESS,3,"completed"
2026-07-22T16:31:07+09:00,20260722-163043,provision-dr,terraform_apply_03-platform,03-platform,SUCCESS,6,"completed"
2026-07-22T16:31:10+09:00,20260722-163043,provision-dr,terraform_init_04-eks-workloads,04-eks-workloads,SUCCESS,3,"completed"
2026-07-22T16:31:16+09:00,20260722-163043,provision-dr,terraform_apply_04-eks-workloads,04-eks-workloads,SUCCESS,6,"completed"
2026-07-22T16:31:19+09:00,20260722-163043,provision-dr,terraform_init_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,3,"completed"
2026-07-22T16:31:46+09:00,20260722-163043,provision-dr,terraform_apply_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,27,"completed"
2026-07-22T16:31:46+09:00,20260722-163043,provision-dr,wait_argocd_cluster_secret,onprem-argocd,SUCCESS,0,"completed"
2026-07-22T16:31:48+09:00,20260722-163043,provision-dr,apply_applicationsets,onprem-argocd,SUCCESS,1,"completed"
2026-07-22T16:37:03+09:00,20260722-163703,switch-to-onprem,check_context,eks-a,SUCCESS,0,"completed"
2026-07-22T16:37:03+09:00,20260722-163703,provision-dr,check_onprem_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:37:03+09:00,20260722-163703,switch-to-onprem,check_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:37:03+09:00,20260722-163703,provision-dr,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:37:03+09:00,20260722-163703,switch-to-onprem,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:37:08+09:00,20260722-163703,provision-dr,terraform_init_02-eks,02-eks,SUCCESS,4,"completed"
2026-07-22T16:37:08+09:00,20260722-163703,switch-to-onprem,internal_health_before_switch,onprem,SUCCESS,3,"completed"
2026-07-22T16:37:09+09:00,20260722-163703,switch-to-onprem,activate_cloudflared,onprem,SUCCESS,0,"completed"
2026-07-22T16:37:12+09:00,20260722-163703,switch-to-onprem,deactivate_cloudflared,eks-a,SUCCESS,2,"completed"
2026-07-22T16:37:13+09:00,20260722-163703,switch-to-onprem,external_health_after_switch,onprem,SUCCESS,1,"completed"
2026-07-22T16:37:14+09:00,20260722-163703,switch-to-onprem,total,switch-to-onprem,SUCCESS,11,"온프레미스 긴급 우회 완료"
2026-07-22T16:37:17+09:00,20260722-163703,provision-dr,terraform_apply_02-eks,02-eks,SUCCESS,9,"completed"
2026-07-22T16:37:19+09:00,20260722-163703,provision-dr,update_kubeconfig,eks-b,SUCCESS,1,"completed"
2026-07-22T16:37:19+09:00,20260722-163703,provision-dr,check_eks_b_context,eks-b,SUCCESS,0,"completed"
2026-07-22T16:37:20+09:00,20260722-163703,provision-dr,check_eks_b_cluster,eks-b,SUCCESS,1,"completed"
2026-07-22T16:37:21+09:00,20260722-163703,provision-dr,wait_eks_b_nodes,eks-b,SUCCESS,1,"completed"
2026-07-22T16:37:24+09:00,20260722-163703,provision-dr,terraform_init_03-platform,03-platform,SUCCESS,3,"completed"
2026-07-22T16:37:28+09:00,20260722-163703,provision-dr,terraform_apply_03-platform,03-platform,SUCCESS,4,"completed"
2026-07-22T16:37:32+09:00,20260722-163703,provision-dr,terraform_init_04-eks-workloads,04-eks-workloads,SUCCESS,4,"completed"
2026-07-22T16:37:38+09:00,20260722-163703,provision-dr,terraform_apply_04-eks-workloads,04-eks-workloads,SUCCESS,6,"completed"
2026-07-22T16:37:42+09:00,20260722-163703,provision-dr,terraform_init_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,4,"completed"
2026-07-22T16:38:09+09:00,20260722-163703,provision-dr,terraform_apply_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,27,"completed"
2026-07-22T16:38:09+09:00,20260722-163703,provision-dr,wait_argocd_cluster_secret,onprem-argocd,SUCCESS,0,"completed"
2026-07-22T16:38:11+09:00,20260722-163703,provision-dr,apply_applicationsets,onprem-argocd,SUCCESS,1,"completed"
2026-07-22T16:38:12+09:00,20260722-163703,provision-dr,wait_eks_b_gitops_applications,eks-b,SUCCESS,0,"completed"
2026-07-22T16:38:13+09:00,20260722-163703,provision-dr,wait_eks_b_app_pods,eks-b,FAILED,1,"exit_code=1"
2026-07-22T16:38:13+09:00,20260722-163703,provision-dr,total,provision-dr,FAILED,70,"EKS-B 애플리케이션 Pod Ready 실패"
2026-07-22T16:41:09+09:00,20260722-164109,provision-dr,check_onprem_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:41:09+09:00,20260722-164109,switch-to-onprem,check_context,eks-a,SUCCESS,0,"completed"
2026-07-22T16:41:09+09:00,20260722-164109,switch-to-onprem,check_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:41:09+09:00,20260722-164109,provision-dr,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:41:09+09:00,20260722-164109,switch-to-onprem,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:41:13+09:00,20260722-164109,provision-dr,terraform_init_02-eks,02-eks,SUCCESS,4,"completed"
2026-07-22T16:41:14+09:00,20260722-164109,switch-to-onprem,internal_health_before_switch,onprem,SUCCESS,3,"completed"
2026-07-22T16:41:15+09:00,20260722-164109,switch-to-onprem,activate_cloudflared,onprem,SUCCESS,1,"completed"
2026-07-22T16:41:17+09:00,20260722-164109,switch-to-onprem,deactivate_cloudflared,eks-a,SUCCESS,2,"completed"
2026-07-22T16:41:18+09:00,20260722-164109,switch-to-onprem,external_health_after_switch,onprem,SUCCESS,1,"completed"
2026-07-22T16:41:18+09:00,20260722-164109,switch-to-onprem,total,switch-to-onprem,SUCCESS,9,"온프레미스 긴급 우회 완료"
2026-07-22T16:41:20+09:00,20260722-164109,provision-dr,terraform_apply_02-eks,02-eks,SUCCESS,7,"completed"
2026-07-22T16:41:23+09:00,20260722-164109,provision-dr,update_kubeconfig,eks-b,SUCCESS,1,"completed"
2026-07-22T16:41:23+09:00,20260722-164109,provision-dr,check_eks_b_context,eks-b,SUCCESS,0,"completed"
